Data_Collector,Focal_ID,Date,Time_Start,Point_Sample,Nearest_Neighbor,Focal_Number,Point_Behavior,Behavior_Tally,Ad_Libitum,Location,Contact_ID,<1_ID,<5_ID,<10_ID
Laura Angley,EV,No Date,2:12:02 PM,0,MY,FS01,RV/,SC_MY/,,FBR_RK/,MY/,ZY/,KJ/,
Laura Angley,EV,No Date,2:17:20 PM,2,MY,FS01,SC_MY/,,,FBR_RK/,MY/,ZY/,KJ/,
Laura Angley,EV,No Date,2:18:08 PM,4,MY,FS01,SC_MY/,,,FBR_RK/,MY/,ZY/,KJ/,
Laura Angley,EV,No Date,2:18:36 PM,6,MY,FS01,GRM_MY/,,,FBR_RK/,MY/,ZY/,KJ/,
Laura Angley,EV,No Date,2:19:25 PM,8,MY,FS01,RV/,,,FBR_RK/,,MY/ZY/,,KJ/
Laura Angley,EV,No Date,2:20:16 PM,10,MY,FS01,GRM_MY/,,,FBR_RK/,MY/,ZY/,,KJ/
Laura Angley,EV,No Date,2:20:48 PM,12,MY,FS01,RPO/,,,FBR_RK/,,MY/ZY/,KJ/,
Laura Angley,EV,No Date,2:21:22 PM,14,MY,FS01,RPO/,,,FBR_RK/,,MY/ZY/,KJ/,
Laura Angley,EV,No Date,2:21:49 PM,16,MY,FS01,SGR/,,,FBR_RK/,,MY/ZY/,KJ/,
Laura Angley,EV,No Date,2:22:13 PM,18,ZY,FS01,RV/,,,CR_BR/,,,ZY/,MY/KJ/
Laura Angley,ZY,No Date,2:24:34 PM,0,MY,FS02,RV/,,,CR_RK/,,,MY/KJ/,EV/
Laura Angley,ZY,No Date,2:25:35 PM,2,MY,FS02,RV/,,,CR_BR/,,MY/,KJ/,EV/
Laura Angley,ZY,No Date,2:26:22 PM,4,MY,FS02,RV/,,,BR_BR/,,MY/KJ/,,EV/
Laura Angley,ZY,No Date,2:27:20 PM,6,KJ,FS02,SGR/,,,BR_BR/,,KJ/,,EV/MY/
Laura Angley,ZY,No Date,2:27:56 PM,8,KJ,FS02,SGR/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,ZY,No Date,2:28:40 PM,10,KJ,FS02,RV/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,ZY,No Date,2:29:16 PM,12,KJ,FS02,RV/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,ZY,No Date,2:29:47 PM,14,KJ,FS02,RV/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,ZY,No Date,2:30:32 PM,16,KJ,FS02,RV/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,ZY,No Date,2:30:55 PM,18,KJ,FS02,RV/,,,BR_BR/,,KJ/,,MY/EV/
Laura Angley,EV,No Date,2:31:25 PM,0,MY,FS03,SGR/,,,BL_BR/,,MY/,ZY/,KJ/
Laura Angley,EV,No Date,2:33:03 PM,2,MY,FS03,RV/,,,BL_BR/,,MY/,ZY/,KJ/
Laura Angley,EV,No Date,2:33:29 PM,4,MY,FS03,SGR/,,,BL_BR/,,MY/,ZY/,KJ/
Laura Angley,EV,No Date,2:34:00 PM,6,MY,FS03,GTA_MY/,GRA_MY/GREA_MY/,,BL_BR/,MY/,,ZY/,KJ/
Laura Angley,EV,No Date,2:35:40 PM,8,MY,FS03,RV/,,,BL_BR/,,MY/,ZY/,KJ/
Laura Angley,EV,No Date,2:36:16 PM,10,MY,FS03,GTR_MY/,GRIR_MY/GRM_MY/,,BL_BR/,MY/,,ZY/,KJ/
Laura Angley,EV,No Date,2:37:32 PM,12,ZY,FS03,MWI/,,,CC_BR/,,,ZY/,MY/KJ/
Laura Angley,EV,No Date,2:38:14 PM,14,ZY,FS03,RV/,,ZY_GTA_KJ/,CC_BR/,,ZY/,,MY/KJ/
Laura Angley,EV,No Date,2:39:24 PM,16,MY,FS03,FE/,,MY_GTA_ZY/,CC_BR/,,,MY/,KJ/ZY/
Laura Angley,EV,No Date,2:40:27 PM,18,KJ,FS03,FE/,GTA_MY/,,CC_BR/,,,KJ/ZY/,MY/
Laura Angley,KJ,No Date,2:41:39 PM,0,EV,FS04,SGR/,,ZY_GTA_EV/,BR_BR/,,,EV/ZY/,MY/
Laura Angley,KJ,No Date,2:47:15 PM,2,EV,FS04,SGR/,,ZY_SC_EV/,BR_BR/,,,EV/ZY/,MY/
Laura Angley,KJ,No Date,2:47:57 PM,4,EV,FS04,SGR/,,ZY_SC_EV/,BR_BR/,,,EV/ZY/,MY/
Laura Angley,KJ,No Date,2:48:37 PM,6,EV,FS04,RPO/,,ZY_SC_EV/MY_GTA_ZY/,BR_BR/,,,EV/ZY/,MY/
Laura Angley,KJ,No Date,2:49:27 PM,8,MY,FS04,RPO/,,MY_SC_EV/EV_SC_ZY/,BR_BR/,,,MY/EV/ZY/,
Laura Angley,KJ,No Date,2:50:23 PM,10,MY,FS04,RPO/,APA_MY/,MY_SC_EV/EV_SC_ZY/,BR_BR/,,,MY/EV/ZY/,
Laura Angley,KJ,No Date,2:50:55 PM,12,MY,FS04,RV/,GTA_MY/,MY_SC_EV/EV_SC_ZY/,BR_BR/,,,MY/EV/ZY/,
Laura Angley,KJ,No Date,2:51:30 PM,14,MY,FS04,SGR/,,MY_SC_EV/EV_SC_ZY/,BR_BR/,,,MY/EV/ZY/,
Laura Angley,KJ,No Date,2:53:11 PM,16,MY,FS04,SGR/,,MY_SC_EV/EV_SC_ZY/,FBR_LG/,,MY/EV/ZY/,,
Laura Angley,KJ,No Date,2:53:40 PM,18,MY,FS04,SGR/,,MY_SC_EV/EV_SC_ZY/,FBR_LG/,,MY/EV/ZY/,,
